antibody_id,tissue_name,cellular_component,level_a,level_b,level_c
32051,U-251 MG,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
32053,HaCaT,Cytoplasmic_bodies,cytoplasmic_bodies,cytoplasmic_bodies,cytoplasm
32053,HaCaT,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32053,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32053,U-251 MG,Cytoplasmic_bodies,cytoplasmic_bodies,cytoplasmic_bodies,cytoplasm
32054,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32054,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32054,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32057,A-431,Vesicles,vesicles,vesicles,secretory
32057,U-2 OS,Vesicles,vesicles,vesicles,secretory
32058,HEK 293,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32058,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32058,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32062,CACO-2,Cytosol,cytosol,cytosol,cytoplasm
32062,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
32068,PC-3,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32068,SK-MEL-30,Cytosol,cytosol,cytosol,cytoplasm
32068,SK-MEL-30,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32068,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
32068,U-2 OS,Nucleus,nucleus,nucleoplasm,nucleus
32080,Hep G2,Cytosol,cytosol,cytosol,cytoplasm
32080,Hep G2,Vesicles,vesicles,vesicles,secretory
32080,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
32080,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
32085,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32085,A-431,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
32085,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32085,U-2 OS,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
32085,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32085,U-251 MG,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
32092,A-431,Cell_Junctions,cell_junctions,plasma_membrane,plasma_membrane
32092,A-431,Focal_adhesion_sites,focal_adhesion_sites,,
32092,A-431,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
32092,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32092,U-2 OS,Focal_adhesion_sites,focal_adhesion_sites,,
32092,U-2 OS,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
32092,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32092,U-251 MG,Focal_adhesion_sites,focal_adhesion_sites,,
32092,U-251 MG,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
32092,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32093,A-431,Vesicles,vesicles,vesicles,secretory
32093,U-2 OS,Vesicles,vesicles,vesicles,secretory
32093,U-251 MG,Vesicles,vesicles,vesicles,secretory
32095,A-431,Cytosol,cytosol,cytosol,cytoplasm
32095,A-431,Nuclear_speckles,nuclear_speckles,nuclear_bodies,nucleus
32095,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
32095,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32095,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
32095,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32097,A-431,Cytosol,cytosol,cytosol,cytoplasm
32097,A-431,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
32097,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
32097,U-2 OS,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
32097,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
32097,U-251 MG,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
32099,A-431,Cytosol,cytosol,cytosol,cytoplasm
32099,A-431,Nuclear_membrane,nuclear_membrane,nuclear_membrane,nucleus
32099,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32099,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
32099,U-2 OS,Nuclear_membrane,nuclear_membrane,nuclear_membrane,nucleus
32099,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32099,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
32099,U-251 MG,Nuclear_membrane,nuclear_membrane,nuclear_membrane,nucleus
32099,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32101,A-431,Centrosome,centrosome,microtubule_organizing_center,filaments
32101,U-2 OS,Centrosome,centrosome,microtubule_organizing_center,filaments
32101,U-251 MG,Centrosome,centrosome,microtubule_organizing_center,filaments
32103,HeLa,Cytosol,cytosol,cytosol,cytoplasm
32103,SiHa,Cytosol,cytosol,cytosol,cytoplasm
32103,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
32103,U-2 OS,Nucleus,nucleus,nucleoplasm,nucleus
32108,A-431,Cytosol,cytosol,cytosol,cytoplasm
32108,U-2 OS,Vesicles,vesicles,vesicles,secretory
32108,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
32111,A-431,Cytosol,cytosol,cytosol,cytoplasm
32111,A-431,Nuclear_membrane,nuclear_membrane,nuclear_membrane,nucleus
32111,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
32111,U-2 OS,Nuclear_membrane,nuclear_membrane,nuclear_membrane,nucleus
32111,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
32111,U-251 MG,Nuclear_membrane,nuclear_membrane,nuclear_membrane,nucleus
32113,A-431,Cytosol,cytosol,cytosol,cytoplasm
32113,A-431,Nucleus,nucleus,nucleoplasm,nucleus
32113,HEK 293,Cytosol,cytosol,cytosol,cytoplasm
32113,HEK 293,Nucleus,nucleus,nucleoplasm,nucleus
32116,A-431,Cytosol,cytosol,cytosol,cytoplasm
32116,MCF7,Cytosol,cytosol,cytosol,cytoplasm
32116,MCF7,Nucleus,nucleus,nucleoplasm,nucleus
32116,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
32125,A-431,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
32125,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32125,U-2 OS,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
32125,U-2 OS,Vesicles,vesicles,vesicles,secretory
32125,U-251 MG,Golgi_apparatus,golgi_apparatus,golgi_apparatus,secretory
32125,U-251 MG,Vesicles,vesicles,vesicles,secretory
32128,A-431,Cytosol,cytosol,cytosol,cytoplasm
32128,A-431,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
32128,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
32128,U-2 OS,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
32128,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
32128,U-251 MG,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
32129,A-431,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
32129,U-2 OS,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
32131,RH-30,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
32135,CACO-2,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32136,CACO-2,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32136,MCF7,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32136,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
32138,A-431,Cytosol,cytosol,cytosol,cytoplasm
32138,A-431,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
32138,A-431,Vesicles,vesicles,vesicles,secretory
32138,U-2 OS,Cytosol,cytosol,cytosol,cytoplasm
32138,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
32140,A-431,Mitochondria,mitochondria,mitochondria,cytoplasm
32140,U-2 OS,Mitochondria,mitochondria,mitochondria,cytoplasm
32140,U-251 MG,Mitochondria,mitochondria,mitochondria,cytoplasm
32141,A-431,Vesicles,vesicles,vesicles,secretory
32141,U-2 OS,Vesicles,vesicles,vesicles,secretory
32141,U-251 MG,Vesicles,vesicles,vesicles,secretory
32143,A-431,Cytosol,cytosol,cytosol,cytoplasm
32143,U-251 MG,Cytosol,cytosol,cytosol,cytoplasm
32151,A-431,Microtubules,microtubules,microtubules,filaments
32151,A-431,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
32151,U-2 OS,Microtubules,microtubules,microtubules,filaments
32151,U-2 OS,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
32151,U-251 MG,Microtubules,microtubules,microtubules,filaments
32151,U-251 MG,Plasma_membrane,plasma_membrane,plasma_membrane,plasma_membrane
32154,A-431,Nuclear_membrane,nuclear_membrane,nuclear_membrane,nucleus
32154,A-431,Nucleus,nucleus,nucleoplasm,nucleus
32154,U-2 OS,Nuclear_membrane,nuclear_membrane,nuclear_membrane,nucleus
32154,U-2 OS,Nucleus,nucleus,nucleoplasm,nucleus
32154,U-251 MG,Nuclear_membrane,nuclear_membrane,nuclear_membrane,nucleus
32154,U-251 MG,Nucleus,nucleus,nucleoplasm,nucleus
34487,SH-SY5Y,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34487,U-2 OS,Nuclear_bodies,nuclear_bodies,nuclear_bodies,nucleus
34487,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34488,A-431,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34488,U-2 OS,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34488,U-251 MG,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34490,A-431,Nuclear_speckles,nuclear_speckles,nuclear_bodies,nucleus
34490,U-2 OS,Nuclear_speckles,nuclear_speckles,nuclear_bodies,nucleus
34493,CACO-2,Cell_Junctions,cell_junctions,plasma_membrane,plasma_membrane
34493,CACO-2,Nucleoplasm,nucleoplasm,nucleoplasm,nucleus
34495,A-431,Cytosol,cytosol,cytosol,cytoplasm
