antibody_id,ensg_id,level_c,prest_id
58901,ENSG00000186951,nucleus,3770086
58911,ENSG00000178882,nucleus,3910060
58929,ENSG00000203943,cytoplasm,3980064
58951,ENSG00000151552,cytoplasm,3760390
58971,ENSG00000164037,cytoplasm,3970198
59008,ENSG00000104472,nucleus,4030026
59012,ENSG00000164105,nucleus,4030255
59061,ENSG00000092330,nucleus,3570037
59070,ENSG00000110107,nucleus,3050187
59096,ENSG00000105939,cytoplasm,3570010
59112,ENSG00000184672,nucleus,3790252
59115,ENSG00000180964,nucleus,232546
59132,ENSG00000170448,nucleus,3761177
59136,ENSG00000100626,nucleus,3720427
59146,ENSG00000139515,nucleus,3930003
59148,ENSG00000164626,nucleus,3970311
59151,ENSG00000167363,cytoplasm,4000110
59155,ENSG00000135929,cytoplasm,2050170
59156,ENSG00000070495,nucleus,1810007
59189,ENSG00000183011,nucleus,2501182
59198,ENSG00000182117,nucleus,3260196
59230,ENSG00000171109,cytoplasm,2960718
59251,ENSG00000267855,cytoplasm,3280181
59272,ENSG00000183260,nucleus,3310254
59288,ENSG00000066027,cytoplasm,3860290
59291,ENSG00000064655,cytoplasm,2220003
59299,ENSG00000189221,cytoplasm,3790457
59302,ENSG00000159374,cytoplasm,3400217
59315,ENSG00000100983,nucleus,3300109
59321,ENSG00000137941,cytoplasm,2550856
59327,ENSG00000244754,nucleus,3560201
59332,ENSG00000153914,nucleus,3010410
59353,ENSG00000140836,nucleus,4030144
59370,ENSG00000173141,cytoplasm,4040194
59373,ENSG00000163939,nucleus,3970212
59374,ENSG00000186501,cytoplasm,4050226
59378,ENSG00000177311,nucleus,4040499
59385,ENSG00000179134,cytoplasm,4040533
59399,ENSG00000169635,nucleus,4040083
59404,ENSG00000177733,nucleus,4040591
59422,ENSG00000171953,cytoplasm,4040291
59435,ENSG00000159905,nucleus,4030248
59439,ENSG00000165643,nucleus,4000019
59447,ENSG00000173614,nucleus,4040269
59474,ENSG00000177606,nucleus,4010002
59488,ENSG00000161618,cytoplasm,3280098
59495,ENSG00000103495,nucleus,3830040
59496,ENSG00000204599,cytoplasm,3830502
59507,ENSG00000176444,nucleus,3770109
59511,ENSG00000140044,nucleus,3930169
59519,ENSG00000275004,nucleus,3790678
59529,ENSG00000130414,cytoplasm,590032
59532,ENSG00000070444,nucleus,3720227
59543,ENSG00000187954,nucleus,2540900
59558,ENSG00000220008,cytoplasm,3421005
59574,ENSG00000147118,nucleus,4030297
59588,ENSG00000156127,nucleus,3950245
59609,ENSG00000156136,nucleus,2990145
59635,ENSG00000179476,cytoplasm,4030454
59640,ENSG00000169740,nucleus,4040065
59647,ENSG00000103145,nucleus,3870291
59667,ENSG00000164465,cytoplasm,3760940
59673,ENSG00000143512,cytoplasm,3410149
59675,ENSG00000197050,nucleus,2510273
59676,ENSG00000179922,nucleus,2510215
59692,ENSG00000143228,nucleus,3500124
59715,ENSG00000278259,cytoplasm,3930138
59745,ENSG00000196460,nucleus,3790632
59748,ENSG00000213246,nucleus,4030607
59767,ENSG00000069248,nucleus,2290018
59798,ENSG00000127804,nucleus,2260065
59802,ENSG00000165792,nucleus,141631
59841,ENSG00000183208,cytoplasm,3100579
59849,ENSG00000122299,cytoplasm,3160162
59897,ENSG00000129933,nucleus,3270012
59914,ENSG00000119917,cytoplasm,3730274
59929,ENSG00000133256,cytoplasm,3730688
59930,ENSG00000173436,cytoplasm,3410235
59931,ENSG00000129993,nucleus,3730492
59933,ENSG00000108813,nucleus,3720599
59934,ENSG00000108604,nucleus,3720574
59936,ENSG00000205922,nucleus,3280616
59944,ENSG00000126856,nucleus,3730380
59946,ENSG00000151881,nucleus,3760396
59960,ENSG00000158055,nucleus,3760709
59961,ENSG00000156500,nucleus,3140969
59965,ENSG00000123144,nucleus,3730339
59977,ENSG00000177943,nucleus,3790077
60012,ENSG00000117407,cytoplasm,3140482
60019,ENSG00000273611,cytoplasm,2500103
60022,ENSG00000181090,nucleus,2360190
60033,ENSG00000178177,nucleus,2840185
60088,ENSG00000197576,nucleus,3450220
60103,ENSG00000228672,nucleus,3600135
60129,ENSG00000154781,nucleus,3460346
60158,ENSG00000204315,nucleus,3320150
60211,ENSG00000183735,nucleus,2750170
60221,ENSG00000125878,nucleus,3450071
60227,ENSG00000110697,cytoplasm,3730063
60243,ENSG00000140396,nucleus,3760127
60251,ENSG00000165156,nucleus,3760877
60259,ENSG00000204371,nucleus,3340364
60264,ENSG00000176055,nucleus,3010557
60277,ENSG00000102034,nucleus,3720500
60304,ENSG00000109339,nucleus,3730021
60316,ENSG00000102078,cytoplasm,3830066
60328,ENSG00000175329,nucleus,4030461
60380,ENSG00000104447,nucleus,4030106
60398,ENSG00000197872,nucleus,4030513
60453,ENSG00000186806,nucleus,3420652
60463,ENSG00000215883,nucleus,3410384
60467,ENSG00000142611,nucleus,3500169
60469,ENSG00000104859,nucleus,3210229
60473,ENSG00000074211,cytoplasm,3360058
60492,ENSG00000006118,cytoplasm,3700070
60498,ENSG00000143093,cytoplasm,3700346
60499,ENSG00000134532,nucleus,3700321
60513,ENSG00000140455,nucleus,3700381
