level_b,ensg_id,gene_name,uniprot_id
nucleoplasm,ENSG00000077092,RARB,P10826
cytosol,ENSG00000149925,ALDOA,P04075
cytosol,ENSG00000115677,HDLBP,Q00341
nucleoplasm,ENSG00000106617,PRKAG2,Q9UGJ0
cytosol,ENSG00000274211,SOCS7,O14512
nucleoplasm,ENSG00000101076,HNF4A,P41235
cytosol,ENSG00000138735,PDE5A,O76074
nucleoplasm,ENSG00000132792,CTNNBL1,Q8WYA6
cytosol,ENSG00000154553,PDLIM3,Q53GG5
cytosol,ENSG00000061273,HDAC7,Q8WUI4
nucleoplasm,ENSG00000105127,AKAP8,O43823
nucleoplasm,ENSG00000117036,ETV3,P41162
cytosol,ENSG00000119280,C1orf198,Q9H425
nucleoplasm,ENSG00000112319,EYA4,O95677
cytosol,ENSG00000185885,IFITM1,P13164
nucleoplasm,ENSG00000075426,FOSL2,P15408
nucleoplasm,ENSG00000076003,MCM6,Q14566
nucleoplasm,ENSG00000111358,GTF2H3,Q13889
nucleoplasm,ENSG00000121022,COPS5,Q92905
nucleoplasm,ENSG00000100319,ZMAT5,Q9UDW3
nucleoplasm,ENSG00000104738,MCM4,P33991
nucleoplasm,ENSG00000105705,SUGP1,Q8IWZ8
nucleoplasm,ENSG00000129315,CCNT1,O60563
cytosol,ENSG00000126456,IRF3,Q14653
nucleoplasm,ENSG00000138668,HNRNPD,Q14103
cytosol,ENSG00000070669,ASNS,P08243
cytosol,ENSG00000196428,TSC22D2,O75157
cytosol,ENSG00000166523,CLEC4E,Q9ULY5
cytosol,ENSG00000105397,TYK2,P29597
cytosol,ENSG00000049239,H6PD,O95479
cytosol,ENSG00000130294,KIF1A,Q12756
nucleoplasm,ENSG00000152942,RAD17,O75943
nucleoplasm,ENSG00000117713,ARID1A,O14497
nucleoplasm,ENSG00000108799,EZH1,Q92800
nucleoplasm,ENSG00000111252,SH2B3,Q9UQQ2
cytosol,ENSG00000140105,WARS,P23381
nucleoplasm,ENSG00000179348,GATA2,P23769
nucleoplasm,ENSG00000185155,MIXL1,Q9H2W2
nucleoplasm,ENSG00000105880,DLX5,P56178
nucleoplasm,ENSG00000132109,TRIM21,P19474
nucleoplasm,ENSG00000119383,PPP2R4,Q15257
cytosol,ENSG00000075618,FSCN1,Q16658
cytosol,"ENSG00000168970,ENSG00000243789","JMJD7-PLA2G4B,JMJD7",P0C870
nucleoplasm,ENSG00000127124,HIVEP3,Q5T1R4
cytosol,ENSG00000213930,GALT,P07902
cytosol,ENSG00000139410,SDSL,Q96GA7
cytosol,ENSG00000168078,PBK,Q96KB5
nucleoplasm,ENSG00000140987,ZSCAN32,Q9NX65
nucleoplasm,"ENSG00000122566,ENSG00000135486,ENSG00000170144","HNRNPA2B1,HNRNPA1,HNRNPA3","P22626,P09651,P51991"
cytosol,ENSG00000164938,TP53INP1,Q96A56
cytosol,ENSG00000118217,ATF6,P18850
cytosol,ENSG00000014216,CAPN1,P07384
cytosol,ENSG00000154001,PPP2R5E,Q16537
cytosol,ENSG00000143149,ALDH9A1,P49189
nucleoplasm,ENSG00000157259,GATAD1,Q8WUU5
cytosol,ENSG00000117479,SLC19A2,O60779
cytosol,ENSG00000129946,SHC2,P98077
nucleoplasm,ENSG00000162613,FUBP1,Q96AE4
nucleoplasm,ENSG00000149480,MTA2,O94776
nucleoplasm,ENSG00000136146,MED4,Q9NPJ6
cytosol,ENSG00000135655,USP15,Q9Y4E8
nucleoplasm,ENSG00000159409,CELF3,Q5SZQ8
nucleoplasm,ENSG00000177463,NR2C2,P49116
cytosol,ENSG00000165704,HPRT1,P00492
cytosol,ENSG00000112306,RPS12,P25398
nucleoplasm,ENSG00000101126,ADNP,Q9H2P0
cytosol,ENSG00000088038,CNOT3,O75175
cytosol,ENSG00000109854,HTATIP2,Q9BUP3
cytosol,ENSG00000106992,AK1,P00568
nucleoplasm,ENSG00000111229,ARPC3,O15145
cytosol,ENSG00000079435,LIPE,Q05469
cytosol,ENSG00000143627,PKLR,P30613
nucleoplasm,ENSG00000196700,ZNF512B,Q96KM6
nucleoplasm,ENSG00000073050,XRCC1,P18887
nucleoplasm,ENSG00000005156,LIG3,P49916
nucleoplasm,ENSG00000172613,RAD9A,Q99638
cytosol,ENSG00000166925,TSC22D4,Q9Y3Q8
nucleoplasm,ENSG00000167491,GATAD2A,Q86YP4
nucleoplasm,ENSG00000005073,HOXA11,P31270
cytosol,ENSG00000110321,EIF4G2,P78344
cytosol,ENSG00000175550,DRAP1,Q14919
nucleoplasm,ENSG00000152422,XRCC4,Q13426
nucleoplasm,ENSG00000160685,ZBTB7B,O15156
cytosol,ENSG00000134248,LAMTOR5,O43504
cytosol,ENSG00000164197,RNF180,Q86T96
cytosol,ENSG00000103404,USP31,Q70CQ4
cytosol,ENSG00000176293,ZNF135,P52742
nucleoplasm,ENSG00000111752,PHC1,P78364
nucleoplasm,ENSG00000179981,TSHZ1,Q6ZSZ6
cytosol,ENSG00000138030,KHK,P50053
nucleoplasm,ENSG00000170322,NFRKB,Q6P4R8
cytosol,ENSG00000104415,WISP1,O95388
nucleoplasm,ENSG00000135486,HNRNPA1,P09651
cytosol,ENSG00000002746,HECW1,Q76N89
nucleoplasm,ENSG00000120071,KANSL1,Q7Z3B3
cytosol,ENSG00000180616,SSTR2,P30874
nucleoplasm,ENSG00000196812,ZSCAN16,Q9H4T2
cytosol,ENSG00000172137,CALB2,P22676
cytosol,ENSG00000181019,NQO1,P15559
cytosol,ENSG00000121957,GPSM2,P81274
cytosol,ENSG00000145022,TCTA,P57738
cytosol,ENSG00000196975,ANXA4,P09525
nucleoplasm,ENSG00000080224,EPHA6,Q9UF33
cytosol,"ENSG00000250506,ENSG00000261408","CDK3,TEN1-CDK3",Q00526
cytosol,ENSG00000117480,FAAH,O00519
nucleoplasm,ENSG00000106537,TSPAN13,O95857
nucleoplasm,ENSG00000102683,SGCG,Q13326
nucleoplasm,ENSG00000008441,NFIX,Q14938
nucleoplasm,ENSG00000112852,PCDHB2,Q9Y5E7
cytosol,ENSG00000197956,S100A6,P06703
nucleoplasm,ENSG00000064393,HIPK2,Q9H2X6
cytosol,ENSG00000085511,MAP3K4,Q9Y6R4
cytosol,ENSG00000148053,NTRK2,Q16620
cytosol,ENSG00000151422,FER,P16591
nucleoplasm,ENSG00000165119,HNRNPK,P61978
cytosol,ENSG00000177453,NIM1K,Q8IY84
cytosol,ENSG00000182378,PLCXD1,Q9NUJ7
cytosol,ENSG00000159164,SV2A,Q7L0J3
cytosol,ENSG00000106541,AGR2,O95994
nucleoplasm,ENSG00000107738,C10orf54,Q9H7M9
cytosol,ENSG00000120697,ALG5,Q9Y673
nucleoplasm,ENSG00000122034,GTF3A,Q92664
cytosol,ENSG00000110237,ARHGEF17,Q96PE2
cytosol,ENSG00000169504,CLIC4,Q9Y696
cytosol,ENSG00000082512,TRAF5,O00463
nucleoplasm,ENSG00000140382,HMG20A,Q9NP66
cytosol,ENSG00000184922,FMNL1,O95466
cytosol,ENSG00000164078,MST1R,Q04912
cytosol,ENSG00000172939,OXSR1,O95747
nucleoplasm,ENSG00000170525,PFKFB3,Q16875
nucleoplasm,ENSG00000198912,C1orf174,Q8IYL3
nucleoplasm,ENSG00000198963,RORB,Q92753
cytosol,ENSG00000115828,QPCT,Q16769
cytosol,ENSG00000156970,BUB1B,O60566
cytosol,ENSG00000077150,NFKB2,Q00653
cytosol,ENSG00000135624,CCT7,Q99832
cytosol,ENSG00000125779,PANK2,Q9BZ23
cytosol,ENSG00000108953,YWHAE,P62258
cytosol,ENSG00000185909,KLHDC8B,Q8IXV7
cytosol,"ENSG00000011052,ENSG00000239672","NME1-NME2,NME1",P15531
cytosol,ENSG00000007038,PRSS21,Q9Y6M0
cytosol,ENSG00000120708,TGFBI,Q15582
nucleoplasm,ENSG00000107882,SUFU,Q9UMX1
cytosol,ENSG00000074603,DPP8,Q6V1X1
cytosol,ENSG00000013561,RNF14,Q9UBS8
nucleoplasm,ENSG00000132781,MUTYH,Q9UIF7
cytosol,ENSG00000162551,ALPL,P05186
nucleoplasm,ENSG00000089280,FUS,P35637
nucleoplasm,ENSG00000185697,MYBL1,P10243
nucleoplasm,ENSG00000132680,KIAA0907,Q7Z7F0
nucleoplasm,ENSG00000177225,PDDC1,Q8NB37
nucleoplasm,ENSG00000121297,TSHZ3,Q63HK5
nucleoplasm,ENSG00000081721,DUSP12,Q9UNI6
cytosol,ENSG00000173193,PARP14,Q460N5
cytosol,ENSG00000088812,ATRN,O75882
nucleoplasm,ENSG00000101049,SGK2,Q9HBY8
nucleoplasm,ENSG00000182325,FBXL6,Q8N531
cytosol,ENSG00000157456,CCNB2,O95067
nucleoplasm,ENSG00000186834,HEXIM1,O94992
nucleoplasm,ENSG00000104369,JPH1,Q9HDC5
nucleoplasm,ENSG00000213762,ZNF134,P52741
nucleoplasm,ENSG00000105376,ICAM5,Q9UMF0
cytosol,ENSG00000084764,MAPRE3,Q9UPY8
nucleoplasm,ENSG00000163728,TTC14,Q96N46
cytosol,ENSG00000126351,THRA,P10827
nucleoplasm,ENSG00000143355,LHX9,Q9NQ69
cytosol,ENSG00000127191,TRAF2,Q12933
cytosol,ENSG00000120063,GNA13,Q14344
cytosol,ENSG00000138160,KIF11,P52732
nucleoplasm,ENSG00000104081,BMF,Q96LC9
nucleoplasm,ENSG00000146242,TPBG,Q13641
cytosol,ENSG00000179593,ALOX15B,O15296
nucleoplasm,ENSG00000105229,PIAS4,Q8N2W9
cytosol,ENSG00000081051,AFP,P02771
nucleoplasm,ENSG00000139200,PIANP,Q8IYJ0
nucleoplasm,ENSG00000171659,GPR34,Q9UPC5
nucleoplasm,ENSG00000085871,MGST2,Q99735
cytosol,ENSG00000151694,ADAM17,P78536
cytosol,ENSG00000080854,IGSF9B,Q9UPX0
cytosol,ENSG00000139263,LRIG3,Q6UXM1
cytosol,ENSG00000113657,DPYSL3,Q14195
cytosol,ENSG00000148175,STOM,P27105
